unique_id,BuildNET ID,association_badges,State,Photo,District,Category,Sub Category,Name,Website,phone_number,Address,Location,Area,Pin Code,Rating Count,Review,Map Link,TAGS,PRODUCTS ,Email Id,PlusCode,latitude,latitude,Instagram Profile,Facebook Profile,Linkedin Profile,Twitter Profile,Images Folder
,,,,,Ernakulam,TMT,Iron and steel store,Popular Iron & Steel,,094471 89832,"NH Bye Pass, Maradu P.O, Chambakkara - Kannadikadu Rd, near VOLKSWAGEN SHOWROOM, Kannadikadu, Maradu, Kochi, Kerala 682304",Kochi,Ernakulam,682304,20,4.4,12068049579336528650,,,,,,,,,,,
,,,,,Ernakulam,TMT,Business center,Kalliyath Building,https://kalliyathindia.com/contact-us.php,,"Edappally, Kochi, Ernakulam, Kerala 682025",Kochi,Ernakulam,682025,57,4.2,11919103921188852948,,,,,,,,,,,
,,,,,Ernakulam,TMT,Iron and steel store,Vijaya Steels,,098950 40199,"Near, Kochi- Dhansushkodi Road, Junction, Kundannoor, Maradu, Kochi, Kerala 682304",Kochi,Ernakulam,682304,23,3.7,14311546517786291529,,,,,,,,,,,
,,,,,Ernakulam,TMT,Iron ware dealer,Vel Metals_ gi/ gp tubes and pipes/ roofing sheets/ Ms angles/ TMT steel/ cement .. dealers,,085898 86156,"Chottanikkara, Thrippunithura, Ernakulam, Kerala 682312",Ernakulam,Kerala,682312,21,4.7,1542598525454923814,,,,,,,,,,,
,,,,,Ernakulam,TMT,Iron and steel store,Ashick Enterprises- Cement dealer Ernakulam,,099957 37370,"Amrutha fuel, NH17, Thaikkavu, Cheranallur, Kochi, Kerala 683501",Kochi,Ernakulam,683501,72,4.9,11511906693884175752,,,,,,,,,,,
,,,,,Ernakulam,TMT,Iron and steel store,M Traders,,099958 95477,"272H%2B8P3, Mathai Manjooran Rd, Pachalam, Ernakulam, Kerala 682012",Ernakulam,Kerala,682012,9,4.7,6012023968285543239,,,,,,,,,,,
,,,,,Ernakulam,TMT,Iron and steel store,Metalex Agencies,http://www.metalexagencies.in/,098460 51915,"66/1914, TA Beerankunju Rd, near Metalex Agencies, North Kaloor, Kacheripady, Kochi, Ernakulam, Kerala 682018",Kochi,Ernakulam,682018,53,4.2,14553961911603103792,,,,,,,,,,,
,,,,,Ernakulam,TMT,Steel distributor,Mascom TMT,https://www.mascomtmt.com/,094465 71400,"8/30A, Dolphin Square, Ashokapuram, Aluva, Kerala 683101",Aluva,Kerala,683101,9,4.8,4290425461659204425,,,,,,,,,,,
,,,,,Ernakulam,TMT,Corporate office,INDIGO TMT,http://www.indigotmt.com/,,"3rd floor, INDIGO TMT Hi LITE Platino, 306 E, road, Shankar Nagar, Kannadikkadu, Maradu, Kochi, Kerala 682304",Kochi,Ernakulam,682304,1,5,3506333477390880322,,,,,,,,,,,
,,,,,Ernakulam,TMT,Steel distributor,STEEL KERALA- STEEL MANUFACTURER FACTORY OUTLET,,088919 76968,"Market Rd, Mekkara, Thrippunithura, Ernakulam, Kochi, Kerala 682301",Ernakulam,Kochi,682301,2,5,8663259172639936911,,,,,,,,,,,
,,,,,Ernakulam,TMT,Steel distributor,Shikha Metals,http://www.shikhametals.com/,096330 40504,"7/570 A, N.H Bypass Kundanoor, Service Rd, Kundannoor, Kochi, Kerala 682304",Kochi,Ernakulam,682304,12,4.8,13701481435981467889,,,,,,,,,,,
,,,,,Ernakulam,TMT,Building materials supplier,PromoteN,,,"Building No: 6, Industrial Developmental area, 631-D, Binanipuram, Edayar, Kochi, Kerala 683502",Kochi,Kerala,683502,7,3.6,6986366179480161260,,,,,,,,,,,
,,,,,Ernakulam,TMT,Building materials supplier,STEEL HOUSE,,098953 18444,"XIV/1, STEEL HOUSE, MC Rd, Mattoor, Kalady, Ernakulam, Kerala 683574",Kalady,Ernakulam,683574,47,4,14264705359727091973,,,,,,,,,,,
